NPI,Participation Probability
1000000017,1.0000000000
1000000754,1.0000000000
1000000381,1.0000000000
1000000384,1.0000000000
1000000388,1.0000000000
1000000400,1.0000000000
1000000419,1.0000000000
1000000427,1.0000000000
1000000445,1.0000000000
1000000472,1.0000000000
1000000746,1.0000000000
1000000606,1.0000000000
1000000734,1.0000000000
1000000733,1.0000000000
1000000711,1.0000000000
1000000663,1.0000000000
1000000661,1.0000000000
1000000659,1.0000000000
1000000558,1.0000000000
1000000566,1.0000000000
1000000805,1.0000000000
1000000346,1.0000000000
1000000812,1.0000000000
1000000815,1.0000000000
1000000048,1.0000000000
1000000987,1.0000000000
1000000095,1.0000000000
1000000117,1.0000000000
1000000145,1.0000000000
1000000148,1.0000000000
1000000886,1.0000000000
1000000217,1.0000000000
1000000242,1.0000000000
1000000847,1.0000000000
1000000281,1.0000000000
1000000285,1.0000000000
1000000657,1.0000000000
1000000867,0.9900000000
1000000771,0.9900000000
1000000861,0.9900000000
1000000927,0.9900000000
1000000954,0.9900000000
1000000972,0.9900000000
1000000992,0.9900000000
1000000511,0.9900000000
1000000066,0.9900000000
1000000552,0.9900000000
1000000308,0.9900000000
1000000499,0.9900000000
1000000432,0.9800000000
1000000235,0.9800000000
1000000251,0.9800000000
1000000305,0.9800000000
1000000501,0.9800000000
1000000548,0.9800000000
1000000524,0.9800000000
1000000551,0.9700000000
1000000839,0.9700000000
1000000653,0.9700000000
1000000072,0.9700000000
1000000132,0.9700000000
1000000677,0.9700000000
1000000031,0.9700000000
1000000518,0.9600000000
1000000571,0.9500000000
1000000735,0.9300000000
1000000198,0.9200000000
1000000643,0.1800000000
1000000374,0.1000000000
1000000984,0.0800000000
1000000828,0.0700000000
1000000053,0.0700000000
1000000602,0.0500000000
1000000165,0.0100000000
1000000705,0.0100000000
